RECORD_ID,REAL_NAME,SPLevel,EstimateDamage,AttackCount,HP
89,punch_foward,0,1,1,2.5
10,spinkick,0,1,1,2.5
68,kickrightside,0,1,1,2.5
4,chunli,2,4.8,6,2.5
58,highrroundhouse,0,1,1,2.5
80,onetwo,0,1,2,2.5
166,bjk,1,2,2,2.5
115,doublebo,1,2,2,2.5
169,fireball,1,-999,0,2.5
116,kof991,2,4,1,2.5
156,bulletclaw,3,4,2,2.5
150,screwk,2,5.4,6,2.5
125,frank_riseup,0,0,0,2.5
102,slashwave,1,2,1,2.5
53,dropkick,0,1.2,2,2.5
55,swiftkick,0,1.5,3,2.5
27,frank_heada,0,1,1,2.5
182,guardforarmor,0,0,0,2.5
167,rundrak,0,1,1,2.5
113,shouqiang,0,1,1,2.5
99,samk,0,1.2,2,2.5
39,crushkick,1,2,1,2.5
5,doublepunch,0,1.2,2,2.5
176,adam_spin,1,2,2,2.5
95,rotatefoward,0,1.5,1,2.5
183,tetsuya_punch,1,2,1,2.5
175,runesburst,3,9,1,5
98,rotatepunches,1,3,3,5
63,jump_ring_slash,2,5,1,5
180,bladekick,1,2,1,5
36,gangkick,2,4.5,1,5
159,g_fire,0,1,1,5
45,f_rushpunch,1,2,1,5
118,fo_boom,3,4,4,5
171,curvefireball,2,4.5,2,5
162,mirrorcannon,2,5,5,5
172,g_grenade,2,-999,0,5
144,forwardpush_long,2,4,2,5
9,downrotatekick,0,1,1,5
137,thunder_near,2,5,1,5
148,rotateleg_far,1,2,2,5
161,psychoblast,2,5,1,5
90,punchcombination,1,5,3,5
184,yuta_punch,1,2,1,5
179,witchmirror,1,2,1,5
