RECORD_ID,REAL_NAME,USEABLE_MONSTER_TYPE,SP_LEVEL,ATTACK_WEIGHT,HP_WEIGHT,ATTACK_TYPE,EVENT_CODE
4,spinningkick,human,2,0.7,2,GR,
5,doublepunch,human,0,0.6,2,GR,
9,downrotatekick,human,0,0.6,2,GR,
10,spinkick,human,0,1,2,GR,
27,frank_heada,human,0,1,2,GR,
36,gangkick,human,2,3.5,2,GR,
39,crushkick,human,1,2,2,GI,
45,f_rushpunch,human,1,2,2,GR,
53,dropkick,human,0,0.5,2,GR,
55,swiftkick,human,0,0.4,2,GR,
58,highrroundhouse,human,0,1,2,GR,
63,jump_ring_slash,human,2,5,2,GR,
68,kickrightside,human,0,1,2,GR,
80,onetwo,human,0,0.5,2,GR,
89,punch_foward,human,0,1,2,GR,
90,punchcombination,human,1,0.5,2,GR,
95,rotatefoward,human,0,1.2,2,GR,
98,rotatepunches,human,1,0.8,2,GR,
99,samk,human,0,0.5,2,GR,
102,slashwave,human,1,2,2,GR,
113,shouqiang,human,0,1,2,GI,
115,doublebo,human,1,1,2,GI,
116,spiralimpact,human,2,4,2,GI,
118,fo_boom,human,3,6,2,GI,
125,frank_riseup,human,0,1,2,CT,
137,thunder_near,human,3,7,2,GI,
144,forwardpush_long,human,2,2,2,GM,
148,rotateleg_far,human,1,1,2,GM,
150,screwk,human,2,0.6,2,GM,
156,bulletclaw,human,3,3.5,2,GM,
159,g_fire,human,0,1,2,GI,
161,psychoblast,human,2,4,2,GR,
162,mirrorcannon,human,2,4,2,GI,
166,bjk,human,1,1,2,GI,
167,rundrak,human,0,1,2,GM,
169,fireball,human,2,1.5,2,GI,
171,curvefireball,human,2,6,2,GI,
172,g_grenade,human,2,5,2,GI,
175,runesburst,human,3,8,2,GI,
176,adam_spin,human,1,1,2,GI,
179,witchmirror,human,1,1,2,CT,
180,bladekick,human,1,2,2,GR,
182,guardforarmor,human,0,0,2,CT,
183,tetsuya_punch,human,1,2,2,GR,
184,yuta_punch,human,1,2,2,GI,
143,bulletclaw2,human,3,4,2,GM,
170,threewayboltp,human,1,1,2,GI,
140,xuanfeng_big,human,3,8,2,GI,
127,speedCT,human,1,0,2,CT,
145,frank_super,human,3,8,2,GM,
17,bfstab,human,2,5,2,GR,
59,highsmashground,human,3,7,2,GI,
