recordId,realName,monsterType,zokusei,rarityLevel,basicMovementPack,moveType,motilitySkillPack,defendableFlag
1,adam,human,3,1,adam,normal,Rush,1
2,tetsuya,human,4,1,tetsuya,normal,Rush,1
3,haruka,human,1,1,haruka,normal,Rush,1
4,maggie,human,2,1,maggie,normal,Rush,1
5,et,human,4,1,et,normal,Rush,1
6,sybill,human,3,1,sybill,normal,Rush,1
7,yuta,human,5,1,yuta,normal,Rush,1
8,earth_golem,human,5,1,yuta,normal,Rush,1
9,mutant_b,human,2,1,yuta,normal,Rush,1
10,HeavyBioMutant,human,2,1,clown,normal,Rush,1
11,fire_golem,human,3,1,tetsuya,normal,Rush,1
12,robot3,human,3,1,robot3,normal,Rush,1
13,NanoCyborg,human,3,1,yuta,normal,Rush,1
14,adam_naked,human,3,1,adam,normal,Rush,1
15,baruk,human,2,1,baruk,normal,Rush,1
16,ice_golem,human,4,1,adam,normal,Rush,1
17,g_e_dragon,e_dragon,1,1,e_dragon,slow,Rush,1
18,clown_r,human,3,1,clown,normal,Rush,1
