RECORD_ID,EN_NAME,JP_NAME,CN_NAME,EN_INTRO,JP_INTRO,CN_INTRO
4,Spinning Kick,回転キック,回旋踢,,,
5,Dual Punches,ダブルパンチ,双拳,,,
9,Low Kick,ローキック,下回踢,,,
10,Twist Kick,ツイストキック,转身踢,,,
27,Head Strike,ヘッドストライク,头击,,,
36,Super Knee Strike,超能力ニーストライク,超能膝击,,,
39,Leg Slash,脚斬り,腿斩,,,
45,Photon Impact Fist,光エネルギー衝撃拳,光能冲击拳,,,
53,Flying Stomp,フライングストンプ,飞蹬,,,
55,Low Spin Hook,ロースピンフック,下回环,,,
58,High Kick,ハイキック,高位踢,,,
63,Blink Slash,瞬間斬り,闪现斩,,,向敌人方向瞬间移动一段距离后对敌人实施刀锋攻击
68,Front Kick,フロントキック,前踢,,,
80,Front Dual Punches,フロントダブルパンチ,前双拳,,,
89,Punch,パンチ,拳,,,
90,Maggie Triple Punch,マギー三連パンチ,玛吉三连拳,,,玛吉的超速拳术
95,Twist Strike,ツイストストライク,扭击,,,
98,Spinning Fist,回転拳,回旋拳,,,
99,Somersault Kick,宙返りキック,筋斗踢,,,
102,Arc Wave,弧線波,弧线波,,,
113,Energy Wave,エネルギー波,能量波,,,
115,Dual Energy Wave,デュアルエネルギー波,能量双波,,,
116,Spiral Impact,螺旋衝撃,螺旋冲击,,,
118,Black Hole Curse,ブラックホールカース,黑洞魔咒,,,在释放后1秒内能够追踪敌人的攻击性魔法
125,Counter Guard,カウンターガード,防御反击,,,
137,Thunderbolt,落雷,落雷,,,
144,Explosive Palm,爆破掌,爆破掌,,,
148,Spiral Flying Kick,螺旋飛び蹴り,螺旋飞踢,,,
150,Spiral Kick,螺旋キック,螺旋脚,,,
156,Spiral Flying Claw,螺旋飛爪,螺旋飞爪,,,
159,Demon Fire,鬼火,鬼火,,,
161,Psychic Blast,超能力爆破,超能爆破,,,
162,Stardust Splash,星屑飛沫,星尘溅射,,,
166,Divine Demon Fire,鬼神火,鬼神烧,,,
167,Flying Kick,フライングキック,飞踢,,,
169,Triple Energy Wave,三方向エネルギー波,三向能量波,,,
171,S Curse,Sカース,S魔咒,,,以S轨道向前飞行的能量球
172,Energy Bomb,エネルギーボム,能量炸弹,,,
175,Arcane Explosion,アーケインエクスプロージョン,奥术爆破,,,向敌人脚下位置施展咒术，1秒后发生爆破
176,Thomas Combo,トーマスコンボ,托马斯连环,,,亚当的体操能力所演变成的攻击术
179,Spell Counter,魔法反撃,咒术反击,,,
180,Blade Kick,刃蹴り,刀锋踢,,,
182,Defense,防御,防御,,,如果被敌人击中，则可瞬间反击
183,Thunder Punch,雷拳,闪电拳,,,
184,Counter Break Fist,反撃破壊拳,反击破坏拳,,,在释放后的一段时间能够抵抗敌人的攻击，随即施展附带超能力的拳击
