NoEnoughStoneToFill,EN,JP,CH
Front,Front,ホール,大厅
Arcade,Arcade,クエスト,探险
illegalword,illegal words,使用できない単語が含んでる,监测到非法字符
NormalSkill,Normal Skill,Normal Skill,普通招数
Ex1Skill,Ex1 Skill,Ex1 Skill,一费必杀技
Ex2Skill,Ex2 Skill,Ex2 Skill,二费必杀技
Ex3Skill,Ex3 Skill,Ex3 Skill,三费必杀技
TryFilterRange,Choose different ranges of skills,Choose different ranges of skills,可以选择不同攻击距离的技能
fill9Slots,Fill Nine Slots,"戦士の技を自由に装備、編集する画面です。
左のボックスからストンーを選んで、9 slotsにドラッグしましょう。",尝试通过安装技能石为战士佩戴不同技能
InvalidUsername,Invalid Username,Invalid Username,Invalid Username
DuplicateUsername,Duplicate Username,Duplicate Username,Duplicate Username
InvalidUsername,Invalid Username,使用できない単語が含んでる,监测到非法字符
NoEnoughStoneToFill,No Enough Stones,No Enough Stones,技能石不足
UnBalanced,Too much sp skill. Try use normal skill to balance your skill set,Too much sp skill. Try use normal skill to balance your skill set,必杀技过多
CantEquipSameSkill,Cant Equip Same Skill,Cant Equip Same Skill,Cant Equip Same Skill
NotFull,Not Full,全てのスロットを満たしましょう,不满
AColumnNeedNormal,AColumnNeedNormal,AColumnNeedNormal,第一列需要普通招数
BornSkillCantRemove,BornSkillCantRemove,BornSkillCantRemove,BornSkillCantRemove
NotLegalButStillUpdate,NotLegalButStillUpdate,技能组非法，仍然更新？,NotLegalButStillUpdate
