id,type,realName,zokusei,personalMagicPack,basicMoveSet,moveType,accSkill,canDefend,rarelevel
1,human,adam,lightMagic,,warrior,Move1,RushBack,1,1
2,human,darkelf,darkMagic,,warrior,Move1,RushBack,1,1
3,human,forestguardian,lightMagic,,warrior,Move1,RushBack,1,1
4,human,knigtht,lightMagic,,warrior,Move1,RushBack,1,1
5,human,mecha_g,redMagic,,warrior,Move1,RushBack,1,1
6,human,bigguy,redMagic,,warrior,Move1,RushBack,1,1
7,human,medusa,lightMagic,,warrior,Move1,RushBack,1,1
8,human,mystic,lightMagic,,warrior,Move1,RushBack,1,1
9,human,sapphiart,blueMagic,,warrior,Move1,RushBack,1,1
10,human,spiritdemon,darkMagic,,warrior,Move1,RushBack,1,1
11,human,adam2,blueMagic,,warrior,Move1,RushBack,1,1
12,wolf,demonwolfgreen,greenMagic,,demon,Move1,RushBack,1,1
13,wolf,purplewolf,darkMagic,,forest,Move1,RushBack,1,1
14,wolf,shiba,lightMagic,,forest,Move1,RushBack,1,1

