RECORD_ID,REAL_NAME,SPLevel,EstimateDamage,HP
1,5hitcombo,1,2.5,10
2,backfistround_l,2,1,10
3,backfistround_r,0,1,10
4,chunli,2,6,10
5,doublepunch,0,2,10
6,doublehooks,0,2,10
7,doublethrustlowkick,1,1.5,10
8,doublethrustroundhouse,1,1.5,10
9,downrotatekick,0,1,10
10,spinkick,0,1,10
11,flyerkicks,3,5,10
12,forwardcombination,1,4,10
13,forwardpunch,0,1,10
14,forwardpush,1,0.6,10
15,flyingkick,1,2,10
16,rollfoward,3,1,10
17,bfstab,1,1,10
18,frank_aircombo1,1,1.6,10
19,frank_aircombo2,0,2,10
20,frank_press,1,4,10
21,frank_ca,1,6,10
22,frank_ca2,2,4,10
23,frank_ca3,2,6,10
24,frank_ca4,3,12,10
25,frank_combo2,1,4,10
26,frank_combo1,1,4,10
27,frank_heada,0,1,10
28,frank_heavyp,2,2.5,10
29,frank_upper,0,1,10
30,frank_combo3,1,2,10
31,frank_combo4,1,3,10
32,frank_combo5,2,3,10
33,hu,0,1,10
34,frank_combo6,2,17,10
35,frontrighthammer,0,2,10
36,gangkick,3,1,10
37,slidekick,0,1,10
38,blades,1,3,10
39,crushkick,0,1.5,10
40,doublekick,1,2,10
41,downspherekick,0,2,10
42,fangentou,0,2,10
43,forwardblade,1,1,10
44,frictionkick,1,1,10
45,f_rushpuch,1,1,10
46,horiblade,1,1,10
47,jiancepunch,1,1,10
48,chargepunch,1,1,10
49,lift,0,1,10
50,push,1,2,10
51,gyrokick,1,1,10
52,highkick,1,1,10
53,dropkick,0,2,10
54,rushrightpuch,0,1,10
55,swiftkick,0,3,10
56,tornadoup,0,1,10
57,headrush,0,1,10
58,highrroundhouse,0,1,10
59,highsmashground,2,1,10
60,hook_r,0,1,10
61,jab_lr,0,1,10
62,jab_rlhook,0,1,10
63,jump_ring_slash,2,1,10
64,kickandenergy,1,3,10
65,kickdoublerush,0,2,10
66,kickdownleft,0,1,10
67,kickrightlow,0,1,10
68,kickrightside,0,1,10
69,heelkick,0,1,10
70,kishinrekko,0,3,10
71,leftrightaxekick,1,3,10
72,a_combo1,0,3,10
73,a_combo2,0,2,10
74,medianlinepunches,0,3,10
75,midhook_l,0,1,10
76,a_combo3,0,2,10
77,a_combo4,1,2,10
78,tonadokick,2,7,10
79,sky_bomber,3,-999,10
80,onetwo,0,2,10
81,onetwothree,0,3,10
82,p_down,0,1,10
83,p_foward2,0,1,10
84,p_ring_slash,1,2,10
85,p_up,0,1,10
86,powersmash,0,1,10
87,punch_c1,0,4,10
88,punch_c1foward,0,4,10
89,punch_foward,0,1,10
90,punchcombination,0,3,10
91,punchheavy,0,1,10
92,punch_r,0,1,10
93,p_up2,2,1,10
94,risingp,0,1,10
95,rotatefoward,0,1,10
96,rotateleg,0,2,10
97,tornadopunch,2,6,10
98,rotatepunches,1,3,10
99,samk,0,2,10
100,smashground,1,1,10
101,smashground_foward,1,1,10
102,slashwave,0,0,10
103,stab,0,1,10
104,landkick,0,1,10
105,switchkick,1,2,10
106,turning_leg_strike,0,2,10
107,upanddown,1,1,10
108,vtl_slash,1,1,10
109,cleavekick,0,1,10
110,consistentbo,0,2,10
111,darkfirework,1,-999,10
112,enegery_explosion,2,1,10
113,shouqiang,0,1,10
114,kof992,0,1,10
115,doublebo,1,2,10
116,kof991,2,1,10
117,zhaohuan,1,1,10
118,fo_boom,2,0,10
119,four_hadogen,3,3,10
120,explosionlighteningball,3,-999,10
121,fireoff,2,1,10
122,forwardtwohandpush,1,0,10
123,frank_combokicks,0,4,10
124,frank_hadogen,3,0,10
125,frank_riseup,0,0,10
126,frank_riseup2,1,0,10
127,frank_riseup3,1,0,10
128,frank_smashground,1,1,10
129,frankfury,2,5,10
130,hellfirekick,1,1,10
131,highlevelbo,1,1,10
132,highspeedbo,0,1,10
133,spike,0,0,10
134,magic_spikes,3,11,10
135,midlevelbo,0,1,10
136,rotatehadogen,2,1,10
137,thunder_near,2,1,10
138,timeexposion_mid,2,1,10
139,tornadohadogen,3,1,10
140,xuanfeng_big,3,0,10
141,xuanfeng_s,2,0,10
142,crusher1,1,2,10
143,crusher2,2,2,10
144,forwardpush_long,2,2,10
145,frank_super,2,8,10
146,rushcrush,1,0,10
147,rotatekick_forward,1,1,10
148,rotateleg_far,0,2,10
149,rotatepunchesforward,2,6,10
150,screwk,2,2,10
151,risingp2,1,1,10
152,bladeslashes,3,4,10
153,punchdown,0,1,10
156,bulletclaw,3,1,10
154,earthshatter,2,0,10
155,h_kick,0,2,10
157,doubleslash,1,2,10
158,jumpstab,1,1,10
159,g_fire,0,0,10
160,stepslash,1,1,10
161,psychoblast,2,1,10
162,mirrorcannon,1,1,10
163,ct,1,-999,10
164,handfiref,2,1,10
165,threeenergy,3,2,10
166,bjk,0,1,10
167,rundrak,0,1,10
168,energy_mirror,2,-999,10
169,fireball,1,-999,10
170,threewayboltp,1,-999,10
171,curvefireball,1,1,10
172,g_grenade,1,-999,10
173,fivewayboltp,2,-999,10
174,threearrows,1,-999,10
175,runesburst,2,1,10
176,adam_spin,1,2,10
177,boxer_p,1,1,10
178,bangzi_k,1,1,10
179,witchmirror,1,1,10
180,bladekick,1,1,10
181,flyingkick_c,0,1,10
182,guardforarmor,0,0,10

