RECORD_ID,REAL_NAME,SPLevel,EstimateDamage,AttackCount,HP
89,punch_foward,0,1,1,5
10,spinkick,0,1,1,5
68,kickrightside,0,1,1,5
4,chunli,2,4.8,6,5
58,highrroundhouse,0,1,1,5
80,onetwo,0,1,2,5
166,bjk,1,2,2,5
115,doublebo,1,2,2,5
169,fireball,1,-999,0,5
116,kof991,2,4,1,5
156,bulletclaw,3,4,2,5
150,screwk,2,5.4,6,5
125,frank_riseup,0,0,0,5
102,slashwave,1,2,1,5
53,dropkick,0,1.2,2,5
55,swiftkick,0,1.5,3,5
27,frank_heada,0,1,1,5
182,guardforarmor,0,0,0,5
167,rundrak,0,1,1,5
113,shouqiang,0,1,1,5
99,samk,0,1.2,2,5
39,crushkick,1,2,1,5
5,doublepunch,0,1.2,2,5
176,adam_spin,1,2,2,5
95,rotatefoward,0,1.5,1,5
183,tetsuya_punch,1,2,1,5

