recordId,realName,monsterType,zokusei,specialZokusei,rarityLevel,basicMovementPack,moveType,motilitySkillPack,defendableFlag
1,adam,human,2,,1,warrior,Move1,Rush,1
2,adam2,human,1,,1,adam,Move1,Rush,1
3,knigtht,human,5,,1,warrior,Move1,Rush,1
4,knigtht1,human,3,,1,adam,Move1,Rush,1
5,knigtht2,human,4,,1,adam,Move1,Rush,1
6,boxer,human,2,,1,kongfu_girl,Move1,Rush,1
7,et,human,4,,1,adam,Move1,Rush,1
8,olderwoman,human,1,,1,warrior,Move1,Rush,1
9,nakedman1,human,2,,1,adam,Move1,Rush,1
10,nakedman2,human,2,,1,adam,Move1,Rush,1
11,nakedwoman1,human,3,,1,warrior,Move1,Rush,1
12,nakedwoman2,human,3,,1,adam,Move1,Rush,1
13,shiba,wolf,1,,1,shiba,Move1,Rush,1
