RECORD_ID,REAL_NAME,USEABLE_MONSTER_TYPE,SP_LEVEL,ATTACK_WEIGHT,HP_WEIGHT,ATTACK_TYPE,EVENT_CODE
89,punch_foward,human,0,1,5,GR,
10,spinkick,human,0,1,5,GR,
68,kickrightside,human,0,1,5,GR,
4,chunli,human,2,0.8,5,GR,
58,highrroundhouse,human,0,1,5,GR,
80,onetwo,human,0,0.5,5,GR,
166,bjk,human,1,1,5,GI,
115,doublebo,human,1,1,5,GI,
169,fireball,human,1,1,5,GI,
116,kof991,human,2,4,5,GI,
156,bulletclaw,human,3,8,5,GM,
150,screwk,human,2,0.9,5,GM,
125,frank_riseup,human,0,1,5,CT,
102,slashwave,human,1,2,5,GR,
53,dropkick,human,0,0.6,5,GR,
55,swiftkick,human,0,0.5,5,GR,
27,frank_heada,human,0,1,5,GR,
182,guardforarmor,human,0,0,5,CT,
167,rundrak,human,0,1,5,GM,
113,shouqiang,human,0,1,5,GI,
99,samk,human,0,0.6,5,GR,
39,crushkick,human,1,2,5,GI,
5,doublepunch,human,0,0.6,5,GR,
176,adam_spin,human,1,1,5,GI,
95,rotatefoward,human,0,1.5,5,GR,
