RECORD_ID,TRIGGER_DIS_MIN,TRIGGER_DIS_MAX,TRIGGER_HEIGHT
1,0.2,5,
2,0.2,5,
3,2,4,
4,0.2,5,
5,0.2,5,
6,2,5,
7,0.2,5,
8,0.2,5,
9,0.2,5,
10,0.2,5,
11,0.2,5,
12,4,6,
13,0.2,5,
14,0.2,5,
15,7,13,
16,0.2,8,
17,3,6,
18,0.2,5,
19,0.2,5,
20,6,8,
21,0.2,5,
22,0.2,5,
23,0.2,5,
24,0.2,5,
25,0.2,5,
26,0.2,5,
27,1,5,
28,0.2,5,
29,1,5,
30,0.2,5,
31,0.2,5,
32,0.2,5,
33,0.2,5,
34,0.2,5,
35,0.2,5,
36,0.2,5,
37,5,7,
38,0.2,5,
39,3.5,5,
40,0.2,5,
41,0.2,5,
42,3,5,
43,0.2,5,
44,0.2,5,
45,0.2,5,
46,0.2,5,
47,3,5,
48,3,5,
49,0,4,
50,0.2,5,
51,0.2,5,
52,0.2,5,
53,3,4,
54,0.2,5,
55,0.2,5,
56,0.2,5,
57,8,10,
58,0.2,5,
59,7,14,
60,0.2,5,
61,0.2,5,
62,0.2,5,
63,4,6,
64,3,5,
65,0.2,5,
66,0.2,5,
67,0.2,5,
68,0.2,5,
69,0.2,5,
70,0.2,5,
71,0.2,5,
72,0.2,5,
73,0.2,5,
74,0.2,5,
75,0.2,5,
76,0.2,5,
77,0.2,5,
78,0.2,5,
79,3.5,6,
80,0.2,5,
81,0.2,5,
82,0.2,5,
83,0.2,5,
84,0.2,5,
85,0.2,5,
86,0.2,5,
87,0.2,5,
88,0.2,5,
89,0.2,5,
90,0.2,5,
91,0.2,5,
92,0.2,5,
93,0.2,5,
94,0.2,5,
95,3,5,
96,0.2,5,
97,0.2,5,
98,0.2,5,
99,0.2,5,
100,0.2,3,
101,5,8,
102,3,5,
103,0.2,5,
104,5,7,
105,0.2,5,
106,0.2,5,
107,0.2,5,
108,0.2,5,
109,3,10,
110,3,10,
111,3,10,
112,0,5,
113,3,10,
114,3,10,
115,3,10,
116,3,10,
117,6,7,
118,8,15,
119,5,10,
120,3,10,
121,3,10,
122,4,6,
123,3,10,
124,3,10,
125,0,10,
126,0,10,
127,0,10,
128,6,8,
129,1,5,
130,2,5,
131,3,10,
132,3,10,
133,3,10,
134,5,10,
135,3,10,
136,3,10,
137,3,10,
138,6,9,
139,3,10,
140,3,10,
141,3,10,
142,3,8,
143,1,7,
144,5,7,
145,1,8,
146,3,8,
147,3,8,
148,4,6,
149,3,8,
150,2,5,
151,3,8,
152,0,7,
153,0,5,
156,3,8,
154,5,9,
155,0,4,
157,1,5,
158,5,8,
159,5,14,
160,2,10,
161,0.3,5,
162,2,5,
163,0,4,
164,0.3,5,
165,0,5,
166,0.3,8,
167,4,6,
168,0.3,15,
169,10,20,
170,7,18,
171,5,18,
172,6,8,
173,6,20,
174,6,20,
175,7,11,
176,0,5,
177,5,8,
178,5,8,
179,2,5,
180,2,5,
181,3,4,
182,0,6,
