ID,type,keyName,AT,attackType,AI_close,AI_near,AI_far,AI_out,SPLevel,skillEmergentLevel,rarelevel
0,human,5hitcombo,10,GR,1,0,0,0,0,2,1
1,human,backfistround_l,10,GR,1,0,0,0,0,2,1
2,human,backfistround_r,10,GR,1,0,0,0,0,2,1
3,human,chunli,10,GR,1,0,0,0,0,2,1
4,human,doublechamber_punch,10,GR,1,0,0,0,0,2,1
5,human,doublehooks,10,GR,1,0,0,0,0,2,1
6,human,doublethrustlowkick,10,GR,1,0,0,0,0,2,1
7,human,doublethrustroundhouse,10,GR,1,0,0,0,0,2,1
8,human,downrotatekick_d2,10,GR,1,0,0,0,0,2,1
9,human,feintkickcombo,10,GR,1,0,0,0,0,2,1
10,human,flyerkicks,10,GR,1,0,0,0,0,2,1
11,human,forwardcombination,10,GR,1,0,0,0,0,2,1
12,human,forwardpunch,10,GR,1,0,0,0,0,2,1
13,human,forwardpush,10,GR,1,0,0,0,0,2,1
14,human,frank_a1,10,GR,1,0,0,0,0,2,1
15,human,frank_a3,10,GR,1,0,0,0,0,2,1
16,human,frank_a5,10,GR,1,0,0,0,0,2,1
17,human,frank_aircombo1,10,GR,1,0,0,0,0,2,1
18,human,frank_aircombo2,10,GR,1,0,0,0,0,2,1
19,human,frank_aircombo3,10,GR,1,0,0,0,0,2,1
20,human,frank_ca,10,GR,1,0,0,0,0,2,1
21,human,frank_ca2,10,GR,1,0,0,0,0,2,1
22,human,frank_ca3,10,GR,1,0,0,0,0,2,1
23,human,frank_ca4,10,GR,1,0,0,0,0,2,1
24,human,frank_comboall2,10,GR,1,0,0,0,0,2,1
25,human,frank_crazyattak,10,GR,1,0,0,0,0,2,1
26,human,frank_heada,10,GR,1,0,0,0,0,2,1
27,human,frank_heavyp,10,GR,1,0,0,0,0,2,1
28,human,frank_upper,10,GR,1,0,0,0,0,2,1
29,human,frankcombo,10,GR,1,0,0,0,0,2,1
30,human,frankcombo2,10,GR,1,0,0,0,0,2,1
31,human,frankcomboall3,10,GR,1,0,0,0,0,2,1
32,human,frankpunch,10,GR,1,0,0,0,0,2,1
33,human,frankrageart,10,GR,1,0,0,0,0,2,1
34,human,frontrighthammer,10,GR,1,0,0,0,0,2,1
35,human,gangkick_d3,10,GR,1,0,0,0,2,2,1
36,human,gm_slidekick_d2,10,GR,1,0,0,0,0,2,1
37,human,gr_blades_d1,10,GR,1,0,0,0,1,2,1
38,human,gr_crushkick_d2,10,GR,1,0,0,0,0,2,1
39,human,gr_doublekick_d3,10,GR,1,0,0,0,0,2,1
40,human,gr_downspherekick_d1,10,GR,1,0,0,0,0,2,1
41,human,gr_fangentou_d2,10,GR,1,0,0,0,0,2,1
42,human,gr_forwardblade_d3,10,GR,1,0,0,0,0,2,1
43,human,gr_highkick_d1,10,GR,1,0,0,0,0,2,1
44,human,gr_highpuch_d3,10,GR,1,0,0,0,0,2,1
45,human,gr_horiblade_d3,10,GR,1,0,0,0,0,2,1
46,human,gr_jiancepunch_d3,10,GR,1,0,0,0,0,2,1
47,human,gr_midpunch_d3,10,GR,1,0,0,0,0,2,1
48,human,gr_punchup_d2,10,GR,1,0,0,0,0,2,1
49,human,gr_push_d3,10,GR,1,0,0,0,0,2,1
50,human,gr_rightsword_d3,10,GR,1,0,0,0,0,2,1
51,human,gr_rotatekick_d3,10,GR,1,0,0,0,0,2,1
52,human,gr_rsuperhkick_d3,10,GR,1,0,0,0,0,2,1
53,human,gr_rushleftpunch_d3,10,GR,1,0,0,0,0,2,1
54,human,gr_rushpup_d2,10,GR,1,0,0,0,0,2,1
55,human,gr_rushrightpuch_g3,10,GR,1,0,0,0,0,2,1
56,human,gr_swiftkick_d1,10,GR,1,0,0,0,0,2,1
57,human,gr_tornadoup_d1,10,GR,1,0,0,0,0,2,1
58,human,headrush,10,GR,1,0,0,0,0,2,1
59,human,heat_seeker,10,GR,1,0,0,0,0,2,1
60,human,highrroundhouse,10,GR,1,0,0,0,0,2,1
61,human,highsmashground,10,GR,1,0,0,0,0,2,1
62,human,hook_r,10,GR,1,0,0,0,0,2,1
63,human,jab_lr,10,GR,1,0,0,0,0,2,1
64,human,jab_r,10,GR,1,0,0,0,0,2,1
65,human,jab_rlhook,10,GR,1,0,0,0,0,2,1
66,human,kickandenergy_d2,10,GR,1,0,0,0,0,2,1
67,human,kickdoublerush,10,GR,1,0,0,0,0,2,1
68,human,kickdownleft,10,GR,1,0,0,0,0,2,1
69,human,kickrightlow,10,GR,1,0,0,0,0,2,1
70,human,kickrightside,10,GR,1,0,0,0,0,2,1
71,human,kickrightspinheel,10,GR,1,0,0,0,0,2,1
72,human,kishinrekko,10,GR,1,0,0,0,0,2,1
73,human,leftrightaxekick,10,GR,1,0,0,0,0,2,1
74,human,leftrighttospinninghookkick,10,GR,1,0,0,0,0,2,1
75,human,leftroundhouse,10,GR,1,0,0,0,0,2,1
76,human,leftsidekicktostinger,10,GR,1,0,0,0,0,2,1
77,human,medianlinepunches,10,GR,1,0,0,0,0,2,1
78,human,midhook_l,10,GR,1,0,0,0,0,2,1
79,human,midhook_r,10,GR,1,0,0,0,0,2,1
80,human,midleftpunchtohigh_roundhousekick,10,GR,1,0,0,0,0,2,1
81,human,midleftpunchtomidsidekick,10,GR,1,0,0,0,0,2,1
82,human,mjab_l,10,GR,1,0,0,0,0,2,1
83,human,ninja_attack,10,GR,1,0,0,0,0,2,1
84,human,nostartup_tonadokick_d2,10,GR,1,0,0,0,0,2,1
85,human,obliquerkick_d2,10,GR,1,0,0,0,0,2,1
86,human,onetwo,10,GR,1,0,0,0,0,2,1
87,human,onetwothree,10,GR,1,0,0,0,0,2,1
88,human,p2,10,GR,1,0,0,0,0,2,1
89,human,p_down,10,GR,1,0,0,0,0,2,1
90,human,p_forward,10,GR,1,0,0,0,0,2,1
91,human,p_foward2,10,GR,1,0,0,0,0,2,1
92,human,p_up,10,GR,1,0,0,0,0,2,1
93,human,powersmash,10,GR,1,0,0,0,0,2,1
94,human,punch_c1,10,GR,1,0,0,0,0,2,1
95,human,punch_c1foward,10,GR,1,0,0,0,0,2,1
96,human,punch_foward,10,GR,1,0,0,0,0,2,1
97,human,punchcombination,10,GR,1,0,0,0,0,2,1
98,human,punchdown,10,GR,1,0,0,0,0,2,1
99,human,punchfoward,10,GR,1,0,0,0,0,2,1
100,human,punchfront,10,GR,1,0,0,0,0,2,1
101,human,punchheavy,10,GR,1,0,0,0,0,2,1
102,human,punchleftuppercut,10,GR,1,0,0,0,0,2,1
103,human,punchrightstraight,10,GR,1,0,0,0,0,2,1
104,human,punchrightuppercut,10,GR,1,0,0,0,0,2,1
105,human,r_upper,10,GR,1,0,0,0,0,2,1
106,human,rabbitpunch_loop,10,GR,1,0,0,0,0,2,1
107,human,rotatebodyandpush,10,GR,1,0,0,0,0,2,1
108,human,rotatefoward_d3,10,GR,1,0,0,0,0,2,1
109,human,rotateleg,10,GR,1,0,0,0,0,2,1
110,human,rotatepunches,10,GR,1,0,0,0,0,2,1
111,human,rotatepunches_d1,10,GR,1,0,0,0,0,2,1
112,human,rswordstagger,10,GR,1,0,0,0,0,2,1
113,human,runshol,10,GR,1,0,0,0,0,2,1
114,human,samk,10,GR,1,0,0,0,0,2,1
115,human,smashground,10,GR,1,0,0,0,0,2,1
116,human,smashground_foward,10,GR,1,0,0,0,0,2,1
117,human,spinningflarekick,10,GR,1,0,0,0,0,2,1
118,human,stormbeamimpact,10,GR,1,0,0,0,0,2,1
119,human,switchkick,10,GR,1,0,0,0,0,2,1
120,human,turning_leg_strike,10,GR,1,0,0,0,0,2,1
121,human,upanddown,10,GR,1,0,0,0,0,2,1
122,human,uppercut,10,GR,1,0,0,0,0,2,1
123,human,urap,10,GR,1,0,0,0,0,2,1
124,human,vverhand_l,10,GR,1,0,0,0,0,2,1
125,human,cleavekick,10,GI,1,1,1,0,0,2,1
126,human,ex1_fo_shouqiang,10,GI,1,1,1,0,0,2,1
127,human,ex1_gi_kof992_d3,10,GI,1,1,1,0,1,2,1
128,human,ex2_fo_boom,10,GI,1,1,1,0,0,2,1
129,human,ex2_gi_doublebo_d1,10,GI,1,1,1,0,0,2,1
130,human,ex2_gi_kof991_d3,10,GI,1,1,1,0,1,2,1
131,human,ex2_gi_zhaohuan,10,GI,1,1,1,0,0,2,1
132,human,ex3_fo_boom,10,GI,1,1,1,0,0,2,1
133,human,ex3_gi_summon_d3,10,GI,1,1,1,0,0,2,1
134,human,fireoff,10,GI,1,1,1,0,0,2,1
135,human,forwardtwohandpush,10,GI,1,1,1,0,0,2,1
136,human,frank_combokicks,10,GI,1,1,1,0,0,2,1
137,human,frank_hadogen,10,GI,1,1,1,0,0,2,1
138,human,frank_riseup,10,GI,1,1,1,0,0,2,1
139,human,frank_riseup2,10,GI,1,1,1,0,0,2,1
140,human,frank_riseup3,10,GI,1,1,1,0,0,2,1
141,human,frank_smashground,10,GI,1,1,1,0,0,2,1
142,human,frankfury,10,GI,1,1,1,0,0,2,1
143,human,hellfirekick,10,GI,1,1,1,0,0,2,1
144,human,hugeenergy,10,GI,1,1,1,0,0,2,1
145,human,rotatehadogen,10,GI,1,1,1,0,0,2,1
146,human,tornadohadogen,10,GI,1,1,1,0,0,2,1
147,human,ex2_gm_crusher_d3,10,GM,1,1,0,0,1,2,1
148,human,ex3_gm_crusher_d3,10,GM,1,1,0,0,1,2,1
149,human,forwardtwohandpush_long,10,GM,1,1,0,0,0,2,1
150,human,frank_super,10,GM,1,1,0,0,0,2,1
151,human,gm_rushcrush_d3,10,GM,1,1,0,0,0,2,1
152,human,rotatekick_forward,10,GM,1,1,0,0,0,2,1
153,human,rotateleg_far,10,GM,1,1,0,0,0,2,1
154,human,rotatepunchesforward,10,GM,1,1,0,0,0,2,1
155,human,screwk,10,GM,1,1,0,0,0,2,1
156,wolf,biteattack,10,GR,1,0,0,0,0,2,1
157,wolf,clawattack,10,GR,1,0,0,0,0,2,1
158,wolf,breathattack,10,GI,1,1,1,0,0,2,1
159,wolf,breathattackonce,10,GI,1,1,1,0,0,2,1
160,wolf,spellcast,10,GI,1,1,1,0,0,2,1
161,wolf,spellcast1,10,GI,1,1,1,0,0,2,1
