RECORD_ID,REAL_NAME,SPLevel,EstimateDamage,AttackCount,HP,
3,backfistround_r,0,1,1,3,
4,spinningkick,2,4.2,6,3,
5,doublepunch,0,1.2,2,3,
9,downrotatekick,0,0.6,1,3,
10,spinkick,0,1,1,3,
12,forwardcombination,1,4,2,3,Maybe too strong
17,bfstab,2,5,1,3,
27,frank_heada,0,1,1,3,
36,gangkick,2,3.5,1,3,Maybe too weak
37,slidekick,0,1,1,3,
39,crushkick,1,2,1,3,Maybe too weak
42,fangentou,0,1,2,3,
44,frictionkick,2,2,1,3,Maybe too weak
45,f_rushpunch,1,2,1,3,Maybe too weak
53,dropkick,0,1,2,3,
55,swiftkick,0,1.2,3,3,
58,highrroundhouse,0,0,0,3,Maybe too weak
59,highsmashground,3,7,1,3,
63,jump_ring_slash,2,5,1,3,
68,kickrightside,0,1,1,3,
77,fo_huge,3,8,1,3,Maybe too strong
80,onetwo,0,1,2,3,
89,punch_foward,0,1,1,3,
90,punchcombination,1,1.5,3,3,Maybe too weak
95,rotatefoward,0,1.2,1,3,
98,rotatepunches,1,2.4,3,3,
99,samk,0,1,2,3,
102,slashwave,1,2,1,3,Maybe too weak
103,stab,0,1.5,1,3,
107,upanddown,1,3,2,3,
113,shouqiang,0,1,1,3,
115,doublebo,1,2,2,3,Maybe too weak
116,spiralimpact,2,4,1,3,Maybe too weak
117,zhaohuan,3,8.3,1,3,Maybe too strong
118,fo_boom,3,6,1,3,Maybe too weak
125,frank_riseup,0,0,0,3,Maybe too weak
127,speedCT,1,0,0,3,Maybe too weak
136,rotatehadogen,2,4,1,3,Maybe too weak
137,thunder_near,3,7,1,3,
140,xuanfeng_big,3,8,1,3,Maybe too strong
143,bulletclaw2,3,8,2,3,Maybe too strong
144,forwardpush_long,2,4,2,3,Maybe too weak
145,frank_super,3,8,1,3,Maybe too strong
148,rotateleg_far,1,2,2,3,Maybe too weak
150,screwk,2,3.6,6,3,Maybe too weak
154,earthshatter,3,7,1,3,
156,bulletclaw,3,5.25,2,3,Maybe too weak
159,g_fire,0,1,1,3,
161,psychoblast,2,4,1,3,Maybe too weak
162,mirrorcannon,2,4,1,3,Maybe too weak
166,bjk,1,1,1,3,Maybe too weak
167,rundrak,0,1,1,3,
169,fireball,2,-999,0,3,Maybe too weak
170,threewayboltp,1,-999,0,3,Maybe too weak
171,curvefireball,2,6,1,3,Maybe too strong
172,g_grenade,2,-999,0,3,Maybe too weak
173,fivewayboltp,2,-999,0,3,Maybe too weak
175,runesburst,3,8,1,3,Maybe too strong
176,adam_spin,1,0,0,3,Maybe too weak
179,witchmirror,1,-999,1,3,Maybe too weak
180,bladekick,1,2,1,3,Maybe too weak
182,guardforarmor,0,0,0,3,Maybe too weak
183,tetsuya_punch,1,2,1,3,Maybe too weak
184,yuta_punch,1,2,1,3,Maybe too weak
197,twowayboltp_boss,3,-999,0,3,Maybe too weak
198,navi_ball_boss,3,1,1,3,Maybe too weak
199,flashBack,1,0,0,3,Maybe too weak
38,blades,1,3,3,3,
100,smashground,3,6,1,3,Maybe too weak
181,flyingkick_c,0,0,1,3,Maybe too weak
